000001,华夏成长混合,混合型,100,1.5,0.15,阳琨,1.401
000003,中海可转债债券A,债券型,100,0.8,0.08,彭海平,0.864
000004,中海可转债债券C,债券型,1000,0,0,彭海平,0.86
000005,嘉实增强信用定期债券,定开债券,100,0.8,0.08,刘宁,1.022
000006,西部利得量化成长混合A,混合型,100,1.5,0.15,盛丰衍,2.0933
000008,嘉实中证500ETF联接A,联接基金,10,1.2,0.12,何如,1.7675
000009,易方达天天理财货币A,货币型,10,0,0,石大怿,0
000010,易方达天天理财货币B,货币型,5000000,0,0,石大怿,0
000011,华夏大盘精选混合,混合型,100,1.5,0.15,陈伟彦,20.519
000013,易方达天天理财货币R,货币型,0,0,0,石大怿,0
000014,华夏聚利债券,债券型,100,0.6,0.06,何家琪,1.711
000015,华夏纯债债券A,债券型,10,0.8,0.08,柳万军,1.216
000016,华夏纯债债券C,债券型,100,0,0,柳万军,1.181
000020,景顺长城品质投资混合,混合型,1000,1.5,0.15,詹成,4.102
000021,华夏优势增长混合,混合型,100,1.5,0.15,郑晓辉,3.008
000024,大摩双利增强债券A,债券型,100,0.8,0.08,张雪,1.164
000025,大摩双利增强债券C,债券型,100,0,0,张雪,1.15
000028,华富安鑫债券,债券型,100,0.8,0.08,张惠,1.1593
000029,富国宏观策略灵活配置混合,混合型,100,1.5,0.15,袁宜,3.096
000030,长城核心优选混合,混合型,100,1.5,0.15,雷俊,1.6453
000031,华夏复兴混合,混合型,100,1.5,0.15,周克平,3.419
000032,易方达信用债债券A,债券型,10,0.8,0.08,胡剑,1.101
000033,易方达信用债债券C,债券型,10,0,0,胡剑,1.098
000037,广发景宁债券,债券型,100,0.8,0.08,宋倩倩,1.0321
000039,农银高增长混合,混合型,100,1.5,0.15,张燕,2.9935
000041,华夏全球股票(QDII),QDII,100,1.6,0.16,李湘杰,1.277
000042,中证财通可持续发展100指数A,股票指数,100,1.2,0.12,吴迪,1.9522
000043,嘉实美国成长股票人民币,QDII,100,1.5,0.15,张自力,2.975
000044,嘉实美国成长股票美元现汇,QDII,0,0,0,张自力,2.803
000045,工银产业债债券A,债券型,100,0.8,0.08,何秀红,1.526
000046,工银产业债债券B,债券型,100,0,0,何秀红,1.495
000047,华夏双债债券A,债券型,100,0.8,0.08,柳万军,1.543
000048,华夏双债债券C,债券型,100,0,0,柳万军,1.518
